Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass
1,5,1,-0.294338,51.593373,33.06,-0.133908,0.030173,0.479307,0.620387,50,1069,25.7,27,0,57.5567,M,No
2,5,1,-0.29428,51.593423,35.37,0.114211,0.109276,0.487054,0.895719,50,1069,25.3,27,0,57.5567,M,No
3,5,1,-0.294218,51.593485,31.95,0.130077,0.015596,0.547605,0.887971,50,801,21.4,23,0,0,M,No
4,5,1,-0.294173,51.593533,35.06,-0.054455,0.088787,0.324057,0.783486,50,752,24.1,21,0,0,M,No
5,5,1,-0.294117,51.59356,35.52,-0.192888,-0.016514,0.327931,0.637003,51,749,20.5,16,0,0,M,No
6,5,1,-0.29409,51.593602,28.31,0.014267,0.091743,0.397248,0.828338,51,749,26.1,13,0,0,M,No
7,5,1,-0.294072,51.593637,31.69,-0.08548,0.299694,0.485117,0.614577,51,1592,29.6,13,0,0,M,No
8,5,1,-0.29404,51.593653,33.32,-0.041696,0.129766,0.419776,0.751274,51,1537,31.2,18,0,38.4047,M,No
9,5,1,-0.293988,51.593673,34.25,0.06231,-0.049745,0.63945,0.746381,51,1660,30.6,20,0,38.4288,M,No
10,5,1,-0.293938,51.593722,30.58,-0.107343,0.103466,0.600306,0.55209,51,1792,31.5,23,0,40.3569,M,No
11,5,1,-0.293887,51.593783,29.96,0.041763,-0.010703,0.714577,0.657492,51,1816,30.2,27,0,53.3324,M,No
12,5,1,-0.293838,51.593848,32.8,-0.029685,-0.046789,0.616004,0.647808,51,1554,29.8,29,0,53.3324,M,No
13,5,1,-0.293777,51.59392,37.39,0.047679,0.01366,0.578899,0.772681,51,1415,26.1,32,0,59.831,M,No
14,5,1,-0.293707,51.593983,32.37,0.100639,-0.117125,0.549541,0.845973,51,1264,28.9,31,0,44.7071,M,No
15,5,1,-0.293663,51.594107,32.64,-0.086289,0.011621,0.398267,0.721916,51,1142,31.3,28,0,44.7071,M,No
16,5,1,-0.29361,51.594163,33.3,-0.04994,-0.036086,0.486137,0.715087,52,945,32.3,26,0,44.7071,M,No
17,5,1,-0.293567,51.594182,31.97,0.077944,-0.063405,0.474414,0.865443,52,850,29.7,24,0,0,M,No
18,5,1,-0.293515,51.594205,31.36,-0.063868,-0.048726,0.383588,0.752192,52,761,29.5,20,0,0,M,No
19,5,1,-0.293452,51.594237,31.99,-0.301079,-0.147401,0.4158,0.441794,52,743,26.8,13,0,0,M,No
20,5,1,-0.293425,51.594288,41.14,0.017378,-0.017533,0.46371,0.804995,52,729,27.9,10,0,0,M,No
21,5,1,-0.293412,51.594297,28.53,-0.022696,0.10051,0.642304,0.629256,52,1547,32.3,11,0,0,M,No
22,5,1,-0.293392,51.594297,32.5,0.080593,-0.01947,0.633537,0.77472,52,1736,31.3,14,0,23.4996,M,No
23,5,1,-0.293352,51.594322,32.75,0.066021,-0.007747,0.610092,0.7737,52,1620,29.8,18,0,22.3523,M,No
24,5,1,-0.293285,51.594367,35.91,-0.195973,0.036086,0.555454,0.479817,52,1583,34.1,22,0,48.2302,M,No
25,5,1,-0.29327,51.594412,33.12,-0.004937,-0.052701,0.48318,0.76789,52,1615,27.5,24,0,52.9359,M,No
26,5,1,-0.293192,51.594493,32.07,0.088317,-0.039959,0.50367,0.863507,53,855,33.2,24,0,52.9359,M,No
27,5,1,-0.293052,51.594597,31.85,-0.012891,-0.049745,0.327931,0.829358,53,630,27.9,10,0,0,M,No
28,5,1,-0.29303,51.59462,22.17,0.043909,-0.01947,0.411927,0.858614,53,573,27.5,5,1.0336,0,M,No
413,5,1,-0.2991,51.58878,179.74,-0.000037,0.096636,0.339653,0.835168,77,586,47.4,6,1.0437,0,M,No
412,5,1,-0.299095,51.588805,187.65,0.036284,0.118043,0.304587,0.883078,77,592,47.4,11,1.0461,0,M,No
411,5,1,-0.299085,51.58884,188.62,0.02508,0.080938,0.419776,0.831295,77,610,47.4,16,1.0486,0,M,No
410,5,1,-0.299073,51.588883,191.03,-0.078321,0.052701,0.348522,0.751274,77,597,47.5,19,1.0511,0,M,No
409,5,1,-0.299055,51.588933,192.01,-0.012446,0.031193,0.427523,0.789297,77,618,47.6,21,1.0534,0,M,No
408,5,1,-0.29904,51.588987,190.13,0.057695,0.01947,0.453925,0.85474,77,668,48,22,1.056,0,M,No
407,5,1,-0.299025,51.589045,185.58,0.154407,0.144444,0.47737,0.940673,77,713,48.4,23,1.0584,0,M,No
406,5,1,-0.299018,51.589107,182.47,-0.020852,0.055556,0.478287,0.752192,77,794,48.8,24,1.0609,0,M,No
405,5,1,-0.29902,51.58917,179.76,-0.013069,0.023344,0.468603,0.76789,77,1035,49.1,26,1.0633,20.926,M,No
404,5,1,-0.299022,51.589243,178.2,0.023062,-0.092661,0.513456,0.779613,77,1164,49.4,27,1.0659,20.926,M,No
403,5,1,-0.299023,51.58932,177.15,0.030013,-0.008767,0.49103,0.804995,76,1180,49.8,28,1.0683,20.926,M,No
402,5,1,-0.29903,51.589385,178.23,-0.176791,-0.082977,0.459735,0.577472,76,1238,50,27,1.071,44.972,M,No
401,5,1,-0.29903,51.58945,181.79,-0.019188,-0.098573,0.522222,0.723955,76,1258,50.2,26,1.0735,27.9014,M,No
400,5,1,-0.299023,51.589513,184.75,0.012113,-0.054638,0.572069,0.732722,76,1605,50.6,24,1.076,27.9014,M,No
399,5,1,-0.299017,51.589575,183.85,0.051926,0.040979,0.533945,0.804995,76,1522,50.7,22,1.0786,12.8982,M,No
398,5,1,-0.29901,51.589633,185.47,-0.178077,-0.069215,0.42946,0.597044,76,1429,50.6,21,1.0812,40.3337,M,No
397,5,1,-0.299005,51.589683,178.89,-0.008233,0.053619,0.498777,0.755148,76,1411,50.6,20,1.0838,40.3294,M,No
396,5,1,-0.29901,51.589727,171.06,-0.014172,0.114169,0.533028,0.720999,76,1502,50.7,17,1.0864,18.2558,M,No
395,5,1,-0.299022,51.589757,156.64,-0.007382,0.050765,0.559327,0.718043,76,1685,50.7,14,1.0889,28.3982,M,No
394,5,1,-0.299045,51.589785,138.75,0.251156,0.132722,0.43629,1.064628,76,1452,50.9,13,1.0915,0,M,No
393,5,1,-0.299075,51.589808,115.36,-0.103338,0.101529,0.616922,0.542304,76,1405,51,10,1.0943,0,M,No
392,5,1,-0.29911,51.589815,109.49,-0.047907,0.123955,0.442202,0.733639,76,591,51.3,11,1.0968,0,M,No
391,5,1,-0.299162,51.589823,110.12,0.039337,0.050765,0.471458,0.824465,76,601,51.6,12,1.0996,0,M,No
390,5,1,-0.299213,51.58983,114.41,-0.033808,0.072171,0.498777,0.723955,76,600,51.8,13,1.1023,0,M,No
389,5,1,-0.299273,51.589847,116.1,0.129236,0.279205,0.471458,0.886952,76,592,52.1,14,1.1049,0,M,No
388,5,1,-0.299335,51.589867,124.66,0.073447,-0.051682,0.431498,0.881142,76,613,52.8,16,1.1077,0,M,No
387,5,1,-0.299402,51.5899,136.62,-0.028972,-0.126911,0.390418,0.779613,76,597,53.1,20,1.1104,0,M,No
386,5,1,-0.299458,51.58994,145.22,0.049025,-0.155148,0.418756,0.848828,76,639,53.1,22,1.113,0,M,No
385,5,1,-0.299507,51.58999,153.11,0.014862,-0.08685,0.438328,0.810805,76,690,53,25,1.1158,58.1756,M,No
384,5,1,-0.299553,51.590047,156.08,0.012952,-0.018451,0.459735,0.802039,76,730,53,26,1.1185,58.1756,M,No
383,5,1,-0.2996,51.590108,154.41,-0.048717,0.018451,0.49103,0.714169,76,780,53,27,1.1213,58.1756,M,No
382,5,1,-0.29965,51.590172,152.62,-0.169424,0.082977,0.513456,0.547197,76,1279,53,27,1.1242,58.1756,M,No
381,5,1,-0.2997,51.590232,155.18,0.083539,0.000917,0.616922,0.790316,76,1393,53,24,1.127,13.6487,M,No
380,5,1,-0.299742,51.590287,158.61,0.214487,-0.027319,0.594495,0.958206,76,1123,53.2,23,1.1298,0,M,No
379,5,1,-0.299775,51.590338,161.26,-0.043772,-0.010703,0.495922,0.717125,76,724,53.1,24,1.1326,0,M,No
378,5,1,-0.299805,51.590395,159.12,0.137394,0.00683,0.464628,0.937717,76,788,53.2,24,1.1355,34.0033,M,No
377,5,1,-0.299842,51.590457,158.42,-0.126896,0.003874,0.440265,0.653619,76,1035,53.1,26,1.1384,34.0033,M,No
376,5,1,-0.299885,51.59052,159.35,-0.023593,-0.01366,0.379715,0.799083,76,1101,53.1,27,1.1412,34.0033,M,No
375,5,1,-0.299923,51.590585,159.2,-0.02253,0.009684,0.427523,0.778593,75,1571,53,26,1.1441,42.9658,M,No
374,5,1,-0.299963,51.590647,159.83,0.001221,-0.144444,0.555454,0.71998,75,1697,53,25,1.147,42.9658,M,No
373,5,1,-0.299995,51.590705,160.4,-0.058044,0.000917,0.523242,0.682875,75,1669,53.1,22,1.1498,44.3214,M,No
372,5,1,-0.30003,51.590752,160.91,-0.015879,0.075127,0.57105,0.697553,75,1587,53.1,19,1.1528,12.9522,M,No
371,5,1,-0.30007,51.590792,158.41,0.111975,-0.000917,0.602345,0.834251,75,726,53.2,15,1.1557,19.2357,M,No
370,5,1,-0.300102,51.590825,157.45,-0.322475,0.009684,0.367074,0.469113,75,687,53.3,15,1.1588,19.2357,M,No
369,5,1,-0.30013,51.590863,157.55,0.100993,0.197146,0.453925,0.883078,75,736,53.3,16,1.1616,19.2357,M,No
368,5,1,-0.30016,51.590902,157.55,-0.018445,0.149337,0.418756,0.77472,75,1048,53.3,17,1.1648,45.2318,M,No
