Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass,Throttle_Position,Engine_Load,Intake_Air_Temp,Catalyst_Temperature,Gear,Trip_Distance_m,Timestamp
0,SimDriver_01,1,0,0,0,0,0,0,0,25.1,850,100,0.0,0,30.0,0,Car,2.5,10.0,22.5,103.6,1,0.0,2024-02-26 08:00:00
1,SimDriver_01,1,0,0,0,0,0,0,0,25.3,900,100,0.1,0,30.0,0,Car,5.0,10.0,22.5,107.2,1,0.0,2024-02-26 08:00:01
2,SimDriver_01,1,0,0,0,0,0,0,0,25.4,950,100,0.1,0,30.0,0,Car,7.5,10.0,22.5,110.8,1,0.1,2024-02-26 08:00:02
3,SimDriver_01,1,0,0,0,0,0,0,0,25.6,1000,100,0.2,0,30.0,0,Car,10.0,10.0,22.5,114.4,1,0.1,2024-02-26 08:00:03
4,SimDriver_01,1,0,0,0,0,0,0,0,25.7,1050,100,0.4,0,41.6,0,Car,12.5,13.9,22.6,118.1,1,0.2,2024-02-26 08:00:04
5,SimDriver_01,1,0,0,0,0,0,0,0,25.9,1100,100,0.5,0,34.8,0,Car,15.0,11.6,22.6,121.7,1,0.4,2024-02-26 08:00:05
6,SimDriver_01,1,0,0,0,0,0,0,0,26.1,1150,100,0.7,0,48.8,0,Car,17.5,16.3,22.6,125.4,1,0.6,2024-02-26 08:00:06
7,SimDriver_01,1,0,0,0,0,0,0,0,26.2,1200,100,0.9,0,47.2,0,Car,20.0,15.7,22.6,129.0,1,0.8,2024-02-26 08:00:07
8,SimDriver_01,1,0,0,0,0,0,0,0,26.4,800,100,1.1,0,46.9,0,Car,22.5,15.6,22.6,132.5,1,1.1,2024-02-26 08:00:08
9,SimDriver_01,1,0,0,0,0,0,0,0,26.5,800,100,1.4,0,51.7,0,Car,25.0,17.2,22.6,135.9,1,1.5,2024-02-26 08:00:09
10,SimDriver_01,1,0,0,0,0,0,0,0,26.6,800,100,1.6,0,79.0,0,Car,27.5,26.3,22.6,139.4,1,2.0,2024-02-26 08:00:10
11,SimDriver_01,1,0,0,0,0,0,0,0,26.7,800,100,1.9,0,87.0,0,Car,30.0,29.0,22.6,143.0,1,2.5,2024-02-26 08:00:11
12,SimDriver_01,1,0,0,0,0,0,0,0,26.9,800,100,2.2,0,83.9,0,Car,28.7,28.0,22.6,146.6,1,3.1,2024-02-26 08:00:12
13,SimDriver_01,1,0,0,0,0,0,0,0,27.0,800,100,2.5,0,88.1,0,Car,30.7,29.4,22.6,150.1,1,3.8,2024-02-26 08:00:13
14,SimDriver_01,1,0,0,0,0,0,0,0,27.1,800,100,2.8,0,81.7,0,Car,31.8,27.2,22.6,153.5,1,4.6,2024-02-26 08:00:14
15,SimDriver_01,1,0,0,0,0,0,0,0,27.3,800,100,3.2,0,74.7,0,Car,33.6,24.9,22.6,156.9,1,5.5,2024-02-26 08:00:15
16,SimDriver_01,1,0,0,0,0,0,0,0,27.4,800,100,3.5,0,82.7,0,Car,32.0,27.6,22.6,160.3,1,6.5,2024-02-26 08:00:16
17,SimDriver_01,1,0,0,0,0,0,0,0,27.5,800,100,3.8,0,69.8,0,Car,31.4,23.3,22.6,163.5,1,7.5,2024-02-26 08:00:17
18,SimDriver_01,1,0,0,0,0,0,0,0,27.6,800,100,4.1,0,88.2,0,Car,30.4,29.4,22.6,166.9,1,8.7,2024-02-26 08:00:18
19,SimDriver_01,1,0,0,0,0,0,0,0,27.8,800,100,4.4,0,87.5,0,Car,31.0,29.2,22.6,170.2,1,9.9,2024-02-26 08:00:19
20,SimDriver_01,1,0,0,0,0,0,0,0,27.9,800,100,4.7,0,84.7,0,Car,29.6,28.2,22.6,173.5,1,11.2,2024-02-26 08:00:20
21,SimDriver_01,1,0,0,0,0,0,0,0,28.0,800,100,5.0,0,61.7,0,Car,29.2,20.6,22.6,176.5,1,12.6,2024-02-26 08:00:21
22,SimDriver_01,1,0,0,0,0,0,0,0,28.2,800,100,5.2,0,54.7,0,Car,27.3,18.2,22.6,179.5,1,14.0,2024-02-26 08:00:22
23,SimDriver_01,1,0,0,0,0,0,0,0,28.3,800,100,5.5,0,58.2,0,Car,28.5,19.4,22.6,182.5,1,15.6,2024-02-26 08:00:23
24,SimDriver_01,1,0,0,0,0,0,0,0,28.4,800,100,5.8,0,81.9,0,Car,28.0,27.3,22.6,185.7,1,17.2,2024-02-26 08:00:24
25,SimDriver_01,1,0,0,0,0,0,0,0,28.6,800,100,6.1,0,53.9,0,Car,27.0,18.0,22.6,188.6,1,18.9,2024-02-26 08:00:25
26,SimDriver_01,1,0,0,0,0,0,0,0,28.7,800,100,6.3,0,83.2,0,Car,28.6,27.7,22.6,191.6,1,20.6,2024-02-26 08:00:26
27,SimDriver_01,1,0,0,0,0,0,0,0,28.8,800,100,6.6,0,67.6,0,Car,30.2,22.5,22.6,194.6,1,22.5,2024-02-26 08:00:27
28,SimDriver_01,1,0,0,0,0,0,0,0,28.9,800,100,6.9,0,75.2,0,Car,30.4,25.1,22.5,197.5,1,24.4,2024-02-26 08:00:28
29,SimDriver_01,1,0,0,0,0,0,0,0,29.1,800,100,7.2,0,62.4,0,Car,29.0,20.8,22.5,200.4,1,26.4,2024-02-26 08:00:29
30,SimDriver_01,1,0,0,0,0,0,0,0,29.2,808,100,7.5,0,78.5,0,Car,27.7,26.2,22.5,203.3,1,28.5,2024-02-26 08:00:30
31,SimDriver_01,1,0,0,0,0,0,0,0,29.3,836,100,7.7,0,79.1,0,Car,26.6,26.4,22.5,206.2,1,30.6,2024-02-26 08:00:31
32,SimDriver_01,1,0,0,0,0,0,0,0,29.5,863,100,8.0,0,68.8,0,Car,26.7,22.9,22.5,209.0,1,32.8,2024-02-26 08:00:32
33,SimDriver_01,1,0,0,0,0,0,0,0,29.6,890,100,8.2,0,71.0,0,Car,25.6,23.7,22.6,211.9,1,35.1,2024-02-26 08:00:33
34,SimDriver_01,1,0,0,0,0,0,0,0,29.8,916,100,8.5,0,77.8,0,Car,25.6,25.9,22.6,214.7,1,37.4,2024-02-26 08:00:34
35,SimDriver_01,1,0,0,0,0,0,0,0,29.9,942,100,8.7,0,57.4,0,Car,24.3,19.1,22.6,217.4,1,39.9,2024-02-26 08:00:35
36,SimDriver_01,1,0,0,0,0,0,0,0,30.1,968,100,8.9,0,67.2,0,Car,25.8,22.4,22.6,220.2,1,42.3,2024-02-26 08:00:36
37,SimDriver_01,1,0,0,0,0,0,0,0,30.2,997,100,9.2,0,58.9,0,Car,27.7,19.6,22.6,222.9,1,44.9,2024-02-26 08:00:37
38,SimDriver_01,1,0,0,0,0,0,0,0,30.4,1026,100,9.5,0,68.7,0,Car,28.3,22.9,22.6,225.6,1,47.5,2024-02-26 08:00:38
39,SimDriver_01,1,0,0,0,0,0,0,0,30.5,1055,100,9.7,0,70.0,0,Car,27.9,23.3,22.6,228.3,1,50.2,2024-02-26 08:00:39
40,SimDriver_01,1,0,0,0,0,0,0,0,30.7,1085,100,10.0,0,79.0,0,Car,29.2,26.3,22.6,231.1,1,53.0,2024-02-26 08:00:40
41,SimDriver_01,1,0,0,0,0,0,0,0,30.8,1115,100,10.3,0,80.5,0,Car,28.8,26.8,22.6,233.9,1,55.9,2024-02-26 08:00:41
